genero,artista_nombre,artista_id,imagen_artista,cancion_nombre,cancion_id,duracion_ms,es_explicito,imagen_album
vallenato,Yeison Jimenez,3SEztK9fNxg81qZ8qETGNT,https://i.scdn.co/image/ab6761610000e5eb624060d309afaa60964fc1b6,Destino Final,2E4TYekUduml1DWIqQWNcj,173154,False,https://i.scdn.co/image/ab67616d0000b273715bbdee4f0072526b566b4a
vallenato,Yeison Jimenez,3SEztK9fNxg81qZ8qETGNT,https://i.scdn.co/image/ab6761610000e5eb624060d309afaa60964fc1b6,Por Qué la Envidia,433eYQkvCgJKXh1o7LtplV,177528,False,https://i.scdn.co/image/ab67616d0000b273188a3130034219ab9da0fe59
vallenato,Kaleth Morales,1JzCCMAjM3FCr9eM3jp0uH,https://i.scdn.co/image/ab6761610000e5ebc3c50b358743bdd1a1298096,Vivo en el limbo,6qvCE9WhoF57af6boMwaOz,376533,False,https://i.scdn.co/image/ab67616d0000b273b8301d39163c78ade62d6920
vallenato,Kaleth Morales,1JzCCMAjM3FCr9eM3jp0uH,https://i.scdn.co/image/ab6761610000e5ebc3c50b358743bdd1a1298096,Lo Mejor Para Los Dos (Todo de Cabeza) - Version Guitarra - En Vivo,4tVCHHdULzG5acuwFmsRPw,251200,False,https://i.scdn.co/image/ab67616d0000b2739d597afa701646b1b7baf5ec
vallenato,Diomedes Diaz,66NweiA3nU84k1S3SZdTSG,https://i.scdn.co/image/ab6761610000e5eb157304dd342624b823e6733c,Tú Eres La Reina,15Q3jbXrqgd9DqW8I4iKl4,253933,False,https://i.scdn.co/image/ab67616d0000b2733ccef69da22117088fcd8104
vallenato,Diomedes Diaz,66NweiA3nU84k1S3SZdTSG,https://i.scdn.co/image/ab6761610000e5eb157304dd342624b823e6733c,Sin Medir Distancias,6OIvXRQYGEhmvLjcYNcV4n,300760,False,https://i.scdn.co/image/ab67616d0000b273c72cc9992ebfbf3887c7ea65
vallenato,Silvestre Dangond,3OcvS8PzSGYMBvLdzY6g3e,https://i.scdn.co/image/ab6761610000e5eb77c762ea593fb1065e169a6c,Cómo Lo Hizo,5oQ12KlSu359ek2vpJTMX3,244840,False,https://i.scdn.co/image/ab67616d0000b273be679d313ca446b93256e70e
vallenato,Silvestre Dangond,3OcvS8PzSGYMBvLdzY6g3e,https://i.scdn.co/image/ab6761610000e5eb77c762ea593fb1065e169a6c,Las Locuras Mías,58sCyRSFBV0m60kbV9rtp9,222043,False,https://i.scdn.co/image/ab67616d0000b2735b1931da50bbce4610e5b570
vallenato,Los inquietos del vallenato,1i2sOJlmgkWrWx28rB17Bd,https://i.scdn.co/image/ab6761610000e5eb15eec61161205fdc07b346c8,Nunca Niegues Que Te Amo,4ZDJgi4ggmO9A7utskAbwk,300346,False,https://i.scdn.co/image/ab67616d0000b273e899d6ff4df7d16668cb2e83
vallenato,Los inquietos del vallenato,1i2sOJlmgkWrWx28rB17Bd,https://i.scdn.co/image/ab6761610000e5eb15eec61161205fdc07b346c8,Recuérdame,340jJsTcuT8ZgBX2caldg3,207880,False,https://i.scdn.co/image/ab67616d0000b273f3076d42655e56007dc1d8d4
